author,basicTitle,basicDatetime
长沙市采购网,湖南湘江新区管理委员会开发建设局初步设计技术审查中介机构服务合同公告,2024-07-04 16:48:21
长沙市采购网,长沙市岳麓区望月湖街道办事处望月湖街道市政维护外包服务项目第1次中标(成交)结果公告,2024-07-04 16:23:16
长沙市采购网,长沙市岳麓区银盆岭街道社区卫生服务中心：其他设备采购项目采购需求公开,2024-07-04 16:04:39
长沙市采购网,长沙市岳麓区望月湖街道社区卫生服务中心：体外循环设备采购项目采购需求公开,2024-07-04 16:04:39
长沙市采购网,湖南湘江新区管理委员会自然资源和规划局：湖南湘江新区自然资源和规划智慧平台项目采购需求公开,2024-07-04 16:04:39
长沙市采购网,长沙市岳麓区银盆岭街道社区卫生服务中心：常规设备（输液泵等）、其他（眼科）、心电B超等设备采购项目采购需求公开,2024-07-04 16:04:38
长沙市采购网,湖南湘江新区管理委员会经济发展局长沙高新区2023年度火炬统计调查企业统计服务项目项目第1次中标(成交)结果公告,2024-07-04 14:55:19
长沙市采购网,长沙高新区明德麓谷学校2024年07月 至 2024年08月政府采购意向,2024-07-04 14:49:56
长沙市采购网,长沙市望城区金山桥街道办事处2024年07月 至 2024年08月政府采购意向,2024-07-04 11:14:54
长沙市采购网,长沙市岳麓区银盆岭街道社区卫生服务中心：彩超等设备采购项目采购需求公开,2024-07-04 11:14:08
长沙市采购网,长沙市岳麓区银盆岭街道社区卫生服务中心：康复科设备（臭氧治疗仪等）采购项目采购需求公开,2024-07-04 11:14:08
长沙市采购网,长沙市岳麓区银盆岭街道社区卫生服务中心：口腔科设备（灭菌器等）采购项目采购需求公开,2024-07-04 10:59:17
长沙市采购网,长沙市岳麓区望月湖街道社区卫生服务中心：临床检验设备、其他医疗设备采购项目采购需求公开,2024-07-04 10:53:54
长沙市采购网,长沙市岳麓区银盆岭街道社区卫生服务中心：DR等设备采购项目采购需求公开,2024-07-04 10:53:53
长沙市采购网,长沙市岳麓区西雅中学国家教育考试标准化考点新增考场及5G屏蔽系统建设工程合同公告,2024-07-04 10:44:11
长沙市采购网,长沙市岳麓区望月湖街道社区卫生服务中心：医用电子生理参数检测仪器设备等采购项目采购需求公开,2024-07-04 10:40:55
长沙市采购网,湖南师大附中博才学士中学国家教育考试标准化考点改造工程合同公告,2024-07-04 09:23:23
长沙市采购网,湖南湘江新区管理委员会组织工作部离退休干部2024年节日物资采购招标公告,2024-07-03 15:21:06
长沙市采购网,湖南湘江新区管理委员会应急管理局：工贸行业专项整治项目验收结果公示,2024-07-03 14:59:12
长沙市采购网,湖南湘江新区管理委员会财政金融局藕塘村安置保障房项目结算复审中标（成交）结果公告,2024-07-03 14:51:18
